tract,Neighborhood,City,State,Teenage_Birth_Rate_women_only_rP_gF_pall,Income
36061020600,East Harlem, New York, NY,0.4863,All
36061025900,Harlem, New York, NY,0.444,All
36061023502,Harlem, New York, NY,0.4146,All
36061022800,Harlem, New York, NY,0.4125,All
36061023200,Harlem, New York, NY,0.3984,All
36061017800,East Harlem, New York, NY,0.3956,All
36061018000,East Harlem, New York, NY,0.3923,All
36061023000,Harlem, New York, NY,0.3916,All
36061020102,Harlem, New York, NY,0.3874,All
36061018600,Harlem, New York, NY,0.3851,All
36061021600,Harlem, New York, NY,0.383,All
36061002202,Alphabet City, New York, NY,0.3789,All
36061021800,Upper Manhattan, New York, NY,0.3763,All
36061018200,East Harlem, New York, NY,0.3736,All
36061022000,Harlem, New York, NY,0.3731,All
36061024200,East Harlem, New York, NY,0.3723,All
36061017402,East Harlem, New York, NY,0.3707,All
36061025700,Harlem, New York, NY,0.3654,All
36061021303,Upper Manhattan, New York, NY,0.3618,All
36061024302,Upper Manhattan, New York, NY,0.3612,All
36061018400,Upper Manhattan, New York, NY,0.357,All
36061020000,Upper Manhattan, New York, NY,0.3465,All
36061002000,Lower Manhattan, New York, NY,0.3424,All
36061021500,Harlem, New York, NY,0.3404,All
36061019400,East Harlem, New York, NY,0.339,All
36061019200,East Harlem, New York, NY,0.336,All
36061021400,Upper Manhattan, New York, NY,0.3359,All
36061026100,Upper Manhattan, New York, NY,0.3332,All
36061022200,Upper Manhattan, New York, NY,0.3323,All
36061019600,East Harlem, New York, NY,0.3308,All
36061020800,Harlem, New York, NY,0.3298,All
36061021000,East Harlem, New York, NY,0.3285,All
36061018800,Upper Manhattan, New York, NY,0.3266,All
36061024301,Upper Manhattan, New York, NY,0.3256,All
36061022600,Harlem, New York, NY,0.3247,All
36061022301,Harlem, New York, NY,0.3241,All
36061020901,Harlem, New York, NY,0.3213,All
36061022900,Harlem, New York, NY,0.3196,All
36061017401,East Harlem, New York, NY,0.3151,All
36061023400,Harlem, New York, NY,0.3139,All
36061019000,Harlem, New York, NY,0.312,All
36061016400,East Harlem, New York, NY,0.3112,All
36061016200,Upper Manhattan, New York, NY,0.3101,All
36061023700,Harlem, New York, NY,0.3097,All
