"tract","Name","Teenage_Birth_Rate_women_only_rW_gF_p25"
24510130806,"Woodberry, Baltimore, MD",0.534
24510210200,"Pigtown, Baltimore, MD",0.4891
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.4751
24005421300,"Dundalk, MD",0.4588
24510020100,"Upper Fells Point, Baltimore, MD",0.4559
24003750203,"Baltimore, MD",0.4368
24005402405,"Gwynn Oak, Baltimore, MD",0.4364
24005451300,"Middle River, MD",0.4309
24510260404,"Baltimore Highlands, Baltimore, MD",0.4296
24510070200,"Madison - Eastend, Baltimore, MD",0.4293
24005420301,"Dundalk, MD",0.427
24510240400,"Riverside Park, Baltimore, MD",0.4067
24510261100,"Canton, Baltimore, MD",0.4059
24510250101,"Beechfield, Baltimore, MD",0.4052
24510230200,"South Baltimore, Baltimore, MD",0.4035
24510130600,"Hampden, Baltimore, MD",0.4029
24510120201,"Baltimore, MD",0.399
24510060100,"Patterson Park, Baltimore, MD",0.3958
24003750102,"Baltimore, MD",0.3945
24510250303,"Morrell Park, Baltimore, MD",0.393
24510250500,"Curtis Bay, Baltimore, MD",0.3929
24510120700,"Remington, Baltimore, MD",0.3912
24510010400,"Canton, Baltimore, MD",0.3848
24003750300,"Linthicum Heights, MD",0.3758
24510190200,"Pratt Monroe, Baltimore, MD",0.3728
24005420402,"Dundalk, MD",0.3711
24510210100,"Pigtown, Baltimore, MD",0.3693
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.3688
24005421000,"Dundalk, MD",0.3665
24510250402,"Brooklyn, Baltimore, MD",0.3599
24510260800,"Baltimore Highlands, Baltimore, MD",0.3596
24510130700,"Hampden, Baltimore, MD",0.3578
24510240200,"Riverside, Baltimore, MD",0.3547
24003750101,"Brooklyn Park, MD",0.3515
24510200500,"Mill Hill, Baltimore, MD",0.3505
24005440600,"Rosedale, MD",0.3469
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3465
24003750202,"Brooklyn Park, MD",0.3434
24510010500,"Upper Fells Point, Baltimore, MD",0.3421
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3382
24005450200,"Essex, MD",0.3374
24510260604,"O'Donnell Heights, Baltimore, MD",0.3362
24510130804,"Hampden, Baltimore, MD",0.3316
24005400702,"Baltimore, MD",0.3302
24005452500,"Dundalk, MD",0.3298
24510010200,"Patterson Park, Baltimore, MD",0.3289
24510260605,"Medford - Broening, Baltimore, MD",0.328
24510261000,"Patterson Park, Baltimore, MD",0.3262
24005411302,"White Marsh, MD",0.3257
24510250206,"Morrell Park, Baltimore, MD",0.3239
24510240300,"Riverside, Baltimore, MD",0.3198
24510190300,"Mount Clare, Baltimore, MD",0.3191
24510060200,"Baltimore, MD",0.3191
24005451200,"Middle River, MD",0.317
24005451000,"Essex, MD",0.3147
24005420401,"Dundalk, MD",0.3146
