"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p50"
24510080700,"Broadway East, Baltimore, MD",0.6087
24510080400,"Broadway East, Baltimore, MD",0.6027
24510190100,"Franklin Square, Baltimore, MD",0.5892
24510160600,"Mosher, Baltimore, MD",0.5759
24510250204,"Cherry Hill, Baltimore, MD",0.5587
24510100200,"Baltimore, MD",0.555
24510080800,"Broadway East, Baltimore, MD",0.5439
24510271802,"Langston Hughes, Baltimore, MD",0.5401
24510200100,"Lexington, Baltimore, MD",0.5375
24510250600,"Brooklyn, Baltimore, MD",0.5301
24510080500,"Darley Park, Baltimore, MD",0.5249
24510060300,"Butchers Hill, Baltimore, MD",0.5243
24510090900,"Oliver, Baltimore, MD",0.5228
24510150500,"Burleith-Leighton, Baltimore, MD",0.5196
24510280500,"Pleasant View Gardens, Baltimore, MD",0.5175
24510130300,"Penn North, Baltimore, MD",0.5113
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.511
24510150600,"NW Community Action, Baltimore, MD",0.5098
24510080102,"Belair - Edison, Baltimore, MD",0.506
24510120500,"Greenmount West, Baltimore, MD",0.5041
24510140300,"Druid Heights, Baltimore, MD",0.4984
24510170300,"Upton, Baltimore, MD",0.4959
24510120300,"Harwood, Baltimore, MD",0.4917
24510120400,"Barclay, Baltimore, MD",0.4848
24510200702,"Saint Joseph's, Baltimore, MD",0.4786
24510100100,"Johnson Square, Baltimore, MD",0.4785
24510260402,"Frankford, Baltimore, MD",0.4772
24510170200,"McCulloh Homes, Baltimore, MD",0.477
24510080301,"Berea, Baltimore, MD",0.473
24510150800,"Garwyn Oaks, Baltimore, MD",0.4721
24510250207,"Cherry Hill, Baltimore, MD",0.4717
24510070400,"Gay Street, Baltimore, MD",0.4676
24510130100,"Reservoir Hill, Baltimore, MD",0.466
24510200701,"Allendale, Baltimore, MD",0.4633
24510080200,"Broadway East, Baltimore, MD",0.4615
24510260403,"Cedonia, Baltimore, MD",0.4586
24510150200,"Sandtown-Winchester, Baltimore, MD",0.4571
24510160802,"Edmondson, Baltimore, MD",0.4564
24510150400,"Mondawmin, Baltimore, MD",0.4553
24510080302,"Berea, Baltimore, MD",0.4553
24510210200,"Pigtown, Baltimore, MD",0.4492
24510080600,"Broadway East, Baltimore, MD",0.4455
24510150300,"Coppin Heights, Baltimore, MD",0.4431
24510030100,"Perkins Homes, Baltimore, MD",0.439
24510250301,"Westport, Baltimore, MD",0.4355
24510070300,"Milton - Montford, Baltimore, MD",0.4346
24510090800,"East Baltimore Midway, Baltimore, MD",0.4342
24510271001,"Baltimore, MD",0.434
24510160801,"Edmondson, Baltimore, MD",0.4339
24510280200,"Gwynn Oak, Baltimore, MD",0.4336
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.432
24510150702,"Walbrook, Baltimore, MD",0.4275
24510190200,"Pratt Monroe, Baltimore, MD",0.4256
24510180200,"Poppleton, Baltimore, MD",0.4226
24510280402,"Rognel Heights, Baltimore, MD",0.4192
24510271503,"Cross Keys, Baltimore, MD",0.4175
24510160300,"Sandtown-Winchester, Baltimore, MD",0.4158
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.4134
24510200400,"Shipley Hill, Baltimore, MD",0.4126
24510271002,"Winston - Govans, Baltimore, MD",0.4114
24510200800,"Irvington, Baltimore, MD",0.4113
24510271600,"Edgecomb, Baltimore, MD",0.411
24510060400,"Baltimore, MD",0.4075
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.4055
24510070200,"Madison - Eastend, Baltimore, MD",0.4052
24510271801,"Arlington, Baltimore, MD",0.4004
24510060100,"Patterson Park, Baltimore, MD",0.397
24510150100,"Sandtown-Winchester, Baltimore, MD",0.3951
24510151300,"Central Park Heights, Baltimore, MD",0.3938
24510260302,"Belair - Edison, Baltimore, MD",0.3909
24510200200,"Lexington, Baltimore, MD",0.3901
24510120600,"Old Goucher, Baltimore, MD",0.3881
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.3852
24510090500,"Better Waverly, Baltimore, MD",0.3848
24510160400,"Midtown Edmondson, Baltimore, MD",0.3848
24510270901,"New Northwood, Baltimore, MD",0.3823
24510250203,"Cherry Hill, Baltimore, MD",0.3796
24510260303,"Claremont - Freedom, Baltimore, MD",0.3768
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.3765
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.3757
24005401102,"Gwynn Oak, Woodlawn, MD",0.3726
24510271102,"Mid-Charles, Baltimore, MD",0.3691
24510260202,"Parkside, Baltimore, MD",0.368
24510270802,"Ramblewood, Baltimore, MD",0.3671
24510160100,"Harlem Park, Baltimore, MD",0.3658
24510151200,"Park Circle, Baltimore, MD",0.3639
24510060200,"Baltimore, MD",0.361
24510280404,"Irvington, Baltimore, MD",0.3601
24510120700,"Remington, Baltimore, MD",0.3592
24510180100,"Poppleton, Baltimore, MD",0.3588
24510210100,"Pigtown, Baltimore, MD",0.3573
24510030200,"Little Italy, Baltimore, MD",0.356
24510270902,"Perring Loch, Baltimore, MD",0.3559
24510260604,"O'Donnell Heights, Baltimore, MD",0.3529
24510090400,"Better Waverly, Baltimore, MD",0.3506
24510250303,"Morrell Park, Baltimore, MD",0.3505
24005421300,"Dundalk, MD",0.3498
24510190300,"Mount Clare, Baltimore, MD",0.3475
24005402404,"Gwynn Oak, Lochearn, MD",0.3453
24005402304,"Gwynn Oak, Baltimore, MD",0.3424
