"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
34013003900,"Springfield/Belmont, Newark, NJ",0.6121
34013001600,"Fairmount, Newark, NJ",0.5639
34013001400,"Fairmount, Newark, NJ",0.5624
34013004300,"Upper Clinton Hill, Newark, NJ",0.5624
34013001800,"Fairmount, Newark, NJ",0.5262
34013006200,"Springfield/Belmont, Newark, NJ",0.5244
34013004400,"Weequahic, Newark, NJ",0.5222
34013003700,"West Side, Newark, NJ",0.52
34013004200,"Upper Clinton Hill, Newark, NJ",0.5173
34013022800,"Springfield/Belmont, Newark, NJ",0.5167
34013023000,"West Side, Newark, NJ",0.5164
34013023100,"West Side, Newark, NJ",0.5145
34013002600,"West Side, Newark, NJ",0.5137
34013023200,"South Broad Street, Newark, NJ",0.5105
34031181702,"Paterson, NJ",0.5071
36005016500,"Bronx County, NY",0.4993
34013008200,"University Heights, Newark, NJ",0.4975
34013022700,"South Broad Street, Newark, NJ",0.4952
34013006600,"Springfield/Belmont, Newark, NJ",0.495
34013010900,"East Orange, NJ",0.4938
36061020600,"East Harlem, New York, NY",0.4863
34013003500,"West Side, Newark, NJ",0.481
34013009200,"Mount Pleasant/Lower Broadway, Newark, NJ",0.4762
36005002300,"Bronx County, NY",0.4744
34013006700,"South Broad Street, Newark, NJ",0.4744
36005014500,"Bronx County, NY",0.4697
34031182301,"Paterson, NJ",0.4679
36081097203,"Queens County, NY",0.4678
34017006700,"Bergen/Lafayette, Jersey City, NJ",0.4666
36005023702,"Bronx County, NY",0.4651
36119003100,"South Side, Mount Vernon, NY",0.4638
34013001900,"Lower Vailsburg, Newark, NJ",0.4631
34013002800,"West Side, Newark, NJ",0.4612
36047038700,"Kings County, NY",0.4605
36047036300,"Kings County, NY",0.4593
36047048900,"Kings County, NY",0.4543
36005014702,"Bronx County, NY",0.4536
36047115600,"Kings County, NY",0.4526
36005007300,"Bronx County, NY",0.4521
34013005400,"Upper Clinton Hill, Newark, NJ",0.4519
36047037500,"Kings County, NY",0.4509
34013000900,"Lower Roseville, Newark, NJ",0.4477
34013001500,"Fairmount, Newark, NJ",0.4475
34017006800,"Bergen/Lafayette, Jersey City, NJ",0.4475
