tract,Name,City ,State,Teenage_Birth_Rate_women_only_rP_gF_p75
34013003100,Springfield/Belmont, Newark, NJ,0.8312
36047050700,Kings County, NY,,0.7116
36005002300,Bronx County, NY,,0.6413
36061002202,Alphabet City, New York, NY,0.5949
34013001400,Fairmount, Newark, NJ,0.5793
34013008200,University Heights, Newark, NJ,0.5789
36005003300,Bronx County, NY,,0.562
36005014500,Bronx County, NY,,0.5555
34013003900,Springfield/Belmont, Newark, NJ,0.5363
36081026000,Queens County, NY,,0.5256
36047113000,Kings County, NY,,0.5241
36047114600,Kings County, NY,,0.5042
36047012000,Kings County, NY,,0.5028
36005022703,Bronx County, NY,,0.4997
36047113400,Kings County, NY,,0.4975
34013002800,West Side, Newark, NJ,0.4915
36047026300,Kings County, NY,,0.489
36047121000,Kings County, NY,,0.4871
36081050600,Queens County, NY,,0.4862
36005011900,Bronx County, NY,,0.4786
34013022800,Springfield/Belmont, Newark, NJ,0.4776
36005036100,Bronx County, NY,,0.4701
34013004300,Upper Clinton Hill, Newark, NJ,0.4693
36081008100,Queens County, NY,,0.4666
36005005100,Bronx County, NY,,0.4664
36047002300,Kings County, NY,,0.4654
34013003500,West Side, Newark, NJ,0.4624
36047035200,Kings County, NY,,0.4614
34013001600,Fairmount, Newark, NJ,0.4496
34013003700,West Side, Newark, NJ,0.4491
34013004400,Weequahic, Newark, NJ,0.4459
36047036502,Kings County, NY,,0.4437
36047023500,Kings County, NY,,0.4376
36061018000,East Harlem, New York, NY,0.4361
36047091000,Kings County, NY,,0.4312
34013001800,Fairmount, Newark, NJ,0.4303
36047005300,Kings County, NY,,0.4287
36005021100,Bronx County, NY,,0.4283
34013022700,South Broad Street, Newark, NJ,0.4244
36005021700,Bronx County, NY,,0.4241
34013002600,West Side, Newark, NJ,0.4153
36047055100,Kings County, NY,,0.4151
36061022200,Upper Manhattan, New York, NY,0.4137
36047002901,Kings County, NY,,0.4128
34013010700,East Orange, NJ,,0.4123
36005007900,Bronx County, NY,,0.4115
36005013500,Bronx County, NY,,0.4114
36081078800,Queens County, NY,,0.4083
36047036100,Kings County, NY,,0.3991
36047024900,Kings County, NY,,0.3973
36061022900,Harlem, New York, NY,0.3973
34017005801,Greenville, Jersey City, NJ,0.3971
36061021500,Harlem, New York, NY,0.397
36005023702,Bronx County, NY,,0.3919
36047042100,Kings County, NY,,0.3918
36005014702,Bronx County, NY,,0.3915
36061020600,East Harlem, New York, NY,0.3914
36081017200,Queens County, NY,,0.3911
34017001701,West Side, Jersey City, NJ,0.3909
36005005002,Bronx County, NY,,0.3893
34013005100,Weequahic, Newark, NJ,0.3874
36047025700,Kings County, NY,,0.3872
36005009300,Bronx County, NY,,0.3865
36005006700,Bronx County, NY,,0.3851
36047026900,Kings County, NY,,0.384
36005004800,Bronx County, NY,,0.3825
34017005500,Greenville, Jersey City, NJ,0.3821
34013023200,South Broad Street, Newark, NJ,0.379
36047115600,Kings County, NY,,0.3781
36047038500,Kings County, NY,,0.3764
34013005300,Upper Clinton Hill, Newark, NJ,0.3761
36005008500,Bronx County, NY,,0.3758
34013013200,Irvington, NJ,,0.3754
36005017901,Bronx County, NY,,0.3731
36047037100,Kings County, NY,,0.372
36085013301,Richmond County, NY,,0.3719
34013009600,North Broadway, Newark, NJ,0.371
36047112600,Kings County, NY,,0.3698
36081019600,Queens County, NY,,0.3666
36081097203,Queens County, NY,,0.3656
36047039700,Kings County, NY,,0.3653
36047009800,Kings County, NY,,0.3623
34013018100,City of Orange, NJ,,0.3621
36047037500,Kings County, NY,,0.3587
36005014701,Bronx County, NY,,0.3586
34031182100,Paterson, NJ,,0.3576
36119002700,South Side, Mount Vernon, NY,0.3551
34013001100,University Heights, Newark, NJ,0.3548
36059407201,Hempstead, NY,,0.3545
36047030300,Kings County, NY,,0.3537
36047123700,Kings County, NY,,0.3524
36047038700,Kings County, NY,,0.3519
34013004200,Upper Clinton Hill, Newark, NJ,0.351
36047003300,Kings County, NY,,0.3496
34013010300,East Orange, NJ,,0.3461
36005023100,Bronx County, NY,,0.3456
36047042700,Kings County, NY,,0.3452
36005007300,Bronx County, NY,,0.3429
36081059000,Queens County, NY,,0.3406
34013004801,Weequahic, Newark, NJ,0.3405
34013003800,West Side, Newark, NJ,0.3397
36005005300,Bronx County, NY,,0.3381
36005019900,Bronx County, NY,,0.3377
34013002500,Lower Vailsburg, Newark, NJ,0.3377
36061018400,Upper Manhattan, New York, NY,0.337
34013004700,Weequahic, Newark, NJ,0.3368
36005017500,Bronx County, NY,,0.3357
34013004600,Weequahic, Newark, NJ,0.335
36047050801,Kings County, NY,,0.3349
36081051600,Queens County, NY,,0.3347
36047052500,Kings County, NY,,0.3335
36005045800,Bronx County, NY,,0.3333
36047043900,Kings County, NY,,0.3331
36047001500,Kings County, NY,,0.3325
36061003002,Alphabet City, New York, NY,0.3322
36081020200,Queens County, NY,,0.332
36061020901,Harlem, New York, NY,0.3293
36005018500,Bronx County, NY,,0.3291
36005024300,Bronx County, NY,,0.3291
36047018300,Kings County, NY,,0.3281
36005036700,Bronx County, NY,,0.328
36005040600,Bronx County, NY,,0.3279
36005004300,Bronx County, NY,,0.3268
34013013300,Irvington, NJ,,0.3267
36047048900,Kings County, NY,,0.3265
36005016900,Bronx County, NY,,0.3261
36047028900,Kings County, NY,,0.3257
36047051002,Kings County, NY,,0.324
36081017000,Queens County, NY,,0.324
34013011300,East Orange, NJ,,0.3239
34013010600,East Orange, NJ,,0.3231
36047098200,Kings County, NY,,0.3228
36047117000,Kings County, NY,,0.3214
34017006700,Bergen/Lafayette, Jersey City, NJ,0.3213
36005005001,Bronx County, NY,,0.3195
36005011700,Bronx County, NY,,0.3192
36047025300,Kings County, NY,,0.3189
36005004100,Bronx County, NY,,0.318
36047093800,Kings County, NY,,0.3173
34013008000,Central Business District, Newark, NJ,0.3167
36047027100,Kings County, NY,,0.3155
36081027000,Queens County, NY,,0.3155
36061026100,Upper Manhattan, New York, NY,0.3152
34013012600,Irvington, NJ,,0.315
34013000900,Lower Roseville, Newark, NJ,0.3143
36005002702,Bronx County, NY,,0.3132
36005002701,Bronx County, NY,,0.3119
36047041300,Kings County, NY,,0.3108
34017004600,Bergen/Lafayette, Jersey City, NJ,0.31
36005001900,Bronx County, NY,,0.3097
34013018400,City of Orange, NJ,,0.3097
36061024500,Upper Manhattan, New York, NY,0.3076
36047042300,Kings County, NY,,0.3069
36081008700,Queens County, NY,,0.3068
34031175200,Passaic, NJ,,0.3066
34013009200,Mount Pleasant/Lower Broadway, Newark, NJ,0.3063
36005018900,Bronx County, NY,,0.3059
36005035900,Bronx County, NY,,0.3057
36047021900,Kings County, NY,,0.3048
36061020000,Upper Manhattan, New York, NY,0.3044
34017007800,Historic Downtown, Jersey City, NJ,0.3043
36047023100,Kings County, NY,,0.3035
36047024500,Kings County, NY,,0.3035
36005022101,Bronx County, NY,,0.3034
36047029100,Kings County, NY,,0.3026
34013005000,South Broad Street, Newark, NJ,0.3025
36061024900,Upper Manhattan, New York, NY,0.302
34013001900,Lower Vailsburg, Newark, NJ,0.3013
36047052700,Kings County, NY,,0.3008
34039030400,Elizabeth, NJ,,0.3006
36081008500,Queens County, NY,,0.3006
36005013300,Bronx County, NY,,0.2998
36085031901,Richmond County, NY,,0.2993
36061021600,Harlem, New York, NY,0.2993
36047050900,Kings County, NY,,0.2993
34013011500,East Orange, NJ,,0.299
36047115200,Kings County, NY,,0.299
36005020900,Bronx County, NY,,0.298
36081017600,Queens County, NY,,0.298
36047034000,Kings County, NY,,0.2976
36047008500,Kings County, NY,,0.2973
34017003000,McGinley Square, Jersey City, NJ,0.2971
34013002201,Upper Vailsburg, Newark, NJ,0.2962
36005015500,Bronx County, NY,,0.2958
34017006800,Bergen/Lafayette, Jersey City, NJ,0.2956
36047025901,Kings County, NY,,0.294
36047025500,Kings County, NY,,0.2932
36081068200,Queens County, NY,,0.2931
34023004600,Perth Amboy, NJ,,0.293
34013010800,East Orange, NJ,,0.2924
36047023300,Kings County, NY,,0.2923
36047027300,Kings County, NY,,0.292
34039039300,Plainfield, NJ,,0.2919
36047028502,Kings County, NY,,0.2919
34013011600,East Orange, NJ,,0.2904
36047044900,Kings County, NY,,0.2903
36047085800,Kings County, NY,,0.2882
36047042900,Kings County, NY,,0.2881
34013000800,Lower Roseville, Newark, NJ,0.2871
34013018700,City of Orange, NJ,,0.287
36047003500,Kings County, NY,,0.2865
36047029500,Kings County, NY,,0.2857
36047051900,Kings County, NY,,0.2849
36005040100,Bronx County, NY,,0.2845
36047018501,Kings County, NY,,0.2842
36005038900,Bronx County, NY,,0.2827
34013009100,Seventh Avenue, Newark, NJ,0.2822
36005036902,Bronx County, NY,,0.2821
36047079802,Kings County, NY,,0.2816
36047089600,Kings County, NY,,0.2812
36081027800,Queens County, NY,,0.2811
36047033000,Kings County, NY,,0.2808
36081018401,Queens County, NY,,0.2806
36081002500,Queens County, NY,,0.28
36047112200,Kings County, NY,,0.2792
34039030200,Elizabeth, NJ,,0.2791
36047029900,Kings County, NY,,0.2789
34013006400,University Heights, Newark, NJ,0.2787
36061024301,Upper Manhattan, New York, NY,0.2787
36047028300,Kings County, NY,,0.2786
36005022901,Bronx County, NY,,0.2781
36081054900,Queens County, NY,,0.2764
36047118202,Kings County, NY,,0.2763
36005048400,Bronx County, NY,,0.2763
36005042902,Bronx County, NY,,0.2761
36047008400,Kings County, NY,,0.2761
36047079602,Kings County, NY,,0.2759
36005023501,Bronx County, NY,,0.2758
36047028700,Kings County, NY,,0.2757
34023004200,Perth Amboy, NJ,,0.2755
36061017000,East Harlem, New York, NY,0.2755
36047091800,Kings County, NY,,0.2754
36047048500,Kings County, NY,,0.2749
34013011900,Irvington, NJ,,0.2747
34017005300,Bergen/Lafayette, Jersey City, NJ,0.2746
36047039500,Kings County, NY,,0.2735
36005039901,Bronx County, NY,,0.2732
36047116800,Kings County, NY,,0.272
34039038800,Plainfield, NJ,,0.2713
36061025900,Harlem, New York, NY,0.2712
36047018700,Kings County, NY,,0.2711
36005022403,Bronx County, NY,,0.2707
36047050803,Kings County, NY,,0.2703
36005037400,Bronx County, NY,,0.2701
36047091200,Kings County, NY,,0.2696
34017004102,McGinley Square, Jersey City, NJ,0.2687
36005025100,Bronx County, NY,,0.2681
36047093200,Kings County, NY,,0.2677
36005024100,Bronx County, NY,,0.2668
36081027200,Queens County, NY,,0.2666
34013022900,University Heights, Newark, NJ,0.2666
36005022500,Bronx County, NY,,0.2664
34023009300,New Brunswick, NJ,,0.2661
36081087100,Queens County, NY,,0.2661
36047039300,Kings County, NY,,0.266
36047118201,Kings County, NY,,0.2634
34031175802,Passaic, NJ,,0.2634
36005038200,Bronx County, NY,,0.2631
36061013500,Hell's Kitchen, New York, NY,0.262
34017002200,Historic Downtown, Jersey City, NJ,0.2616
34013010000,East Orange, NJ,,0.2616
36061021303,Upper Manhattan, New York, NY,0.2613
36005006200,Bronx County, NY,,0.2613
36061002500,Lower Manhattan, New York, NY,0.2613
34031175402,Passaic, NJ,,0.2612
36061002601,Alphabet City, New York, NY,0.2612
36081040500,Queens County, NY,,0.2609
36005008900,Bronx County, NY,,0.2605
36047082400,Kings County, NY,,0.2602
34017005200,Greenville, Jersey City, NJ,0.2601
36061001002,Lower Manhattan, New York, NY,0.26
36005017701,Bronx County, NY,,0.2597
36047027900,Kings County, NY,,0.2594
36047033900,Kings County, NY,,0.2591
34013008100,Central Business District, Newark, NJ,0.2591
36059406801,Hempstead, NY,,0.2586
