"tract","Name","Teenage_Birth_Rate_women_only_rB_gF_p25"
34013006800,"Ironbound District, Newark, NJ",0.8513
34039031000,"Elizabeth, NJ",0.6926
36005002300,"Bronx County, NY",0.6716
36047003300,"Kings County, NY",0.6701
34039030802,"Elizabeth, NJ",0.663
34031175703,"Passaic, NJ",0.6613
34013003700,"West Side, Newark, NJ",0.6468
34017003500,"Downtown Jersey City, Jersey City, NJ",0.6439
36005022403,"Bronx County, NY",0.6402
36005007700,"Bronx County, NY",0.6395
36085013302,"Richmond County, NY",0.6315
34039039800,"Elizabeth, NJ",0.6315
34013003900,"Springfield/Belmont, Newark, NJ",0.629
34017004700,"Jersey City, NJ",0.6192
36119002403,"Southeast Yonkers, Yonkers, NY",0.615
34017001701,"West Side, Jersey City, NJ",0.6099
34017001300,"The Heights, Jersey City, NJ",0.6085
34023005602,"New Brunswick, NJ",0.6027
34039030400,"Elizabeth, NJ",0.6002
36005012500,"Bronx County, NY",0.6
34031124700,"Clifton, NJ",0.5993
34023004600,"Perth Amboy, NJ",0.5992
34013009700,"North Broadway, Newark, NJ",0.5919
34031182900,"Paterson, NJ",0.5896
34013009200,"Mount Pleasant/Lower Broadway, Newark, NJ",0.5849
34013007502,"North Ironbound, Newark, NJ",0.5835
36119003900,"North Side, Mount Vernon, NY",0.575
34013001600,"Fairmount, Newark, NJ",0.5736
34013014600,"Belleville, NJ",0.5725
36047115000,"Kings County, NY",0.5723
34013001800,"Fairmount, Newark, NJ",0.5721
34013004300,"Upper Clinton Hill, Newark, NJ",0.5704
34031183101,"Paterson, NJ",0.568
36061017800,"East Harlem, New York, NY",0.5674
36047075000,"Kings County, NY",0.5653
34031182100,"Paterson, NJ",0.5643
36005008300,"Bronx County, NY",0.5599
34013004200,"Upper Clinton Hill, Newark, NJ",0.5577
36047023500,"Kings County, NY",0.5559
34013004802,"Dayton/Weequahic Park, Newark, NJ",0.5558
34039035300,"Linden, NJ",0.5499
34013009600,"North Broadway, Newark, NJ",0.5486
36005016500,"Bronx County, NY",0.5482
36081034700,"Queens County, NY",0.5432
36005012901,"Bronx County, NY",0.543
34023004000,"Perth Amboy, NJ",0.5409
34013001100,"University Heights, Newark, NJ",0.5404
34039030200,"Elizabeth, NJ",0.5404
34013004500,"Weequahic, Newark, NJ",0.5403
36047034000,"Kings County, NY",0.5398
34013006200,"Springfield/Belmont, Newark, NJ",0.539
36005012101,"Bronx County, NY",0.5389
34039039000,"Plainfield, NJ",0.5383
34013001400,"Fairmount, Newark, NJ",0.5383
34017006100,"Greenville, Jersey City, NJ",0.5379
36047119000,"Kings County, NY",0.5378
34017001800,"Journal Square, Jersey City, NJ",0.536
36005036902,"Bronx County, NY",0.5319
36119003100,"South Side, Mount Vernon, NY",0.5317
36081000400,"Queens County, NY",0.5285
36005003900,"Bronx County, NY",0.5272
34013000300,"Upper Roseville, Newark, NJ",0.5269
34013023200,"South Broad Street, Newark, NJ",0.5264
36005029302,"Bronx County, NY",0.5261
34031182302,"Paterson, NJ",0.5259
36061017900,"Upper West Side, New York, NY",0.5252
34031181702,"Paterson, NJ",0.5251
34017010400,"Bayonne, NJ",0.5245
36047041900,"Kings County, NY",0.5244
34013002600,"West Side, Newark, NJ",0.5243
36061020600,"East Harlem, New York, NY",0.5239
36047048900,"Kings County, NY",0.5238
34013008100,"Central Business District, Newark, NJ",0.5237
36047038700,"Kings County, NY",0.5229
36005003300,"Bronx County, NY",0.522
34013022800,"Springfield/Belmont, Newark, NJ",0.5214
36005022902,"Bronx County, NY",0.5186
36085032300,"Richmond County, NY",0.5179
36005014702,"Bronx County, NY",0.5143
36047117601,"Kings County, NY",0.5141
36081097203,"Queens County, NY",0.5124
36047037300,"Kings County, NY",0.5123
36081004700,"Queens County, NY",0.5121
34017000700,"The Heights, Jersey City, NJ",0.5118
36081022002,"Queens County, NY",0.5109
36047116800,"Kings County, NY",0.5107
34013000100,"Forest Hill, Newark, NJ",0.5106
34039039300,"Plainfield, NJ",0.5088
36005014500,"Bronx County, NY",0.5083
34039034000,"Roselle, NJ",0.5071
34013004400,"Weequahic, Newark, NJ",0.507
34017005300,"Bergen/Lafayette, Jersey City, NJ",0.5067
34013008200,"University Heights, Newark, NJ",0.5066
34013013100,"Irvington, NJ",0.5062
36005036700,"Bronx County, NY",0.5057
34013014400,"Belleville, NJ",0.5056
34013001900,"Lower Vailsburg, Newark, NJ",0.505
34017006800,"Bergen/Lafayette, Jersey City, NJ",0.5049
36047002300,"Kings County, NY",0.5043
34013006600,"Springfield/Belmont, Newark, NJ",0.5043
34039034400,"Roselle, NJ",0.5039
36047036700,"Kings County, NY",0.5031
34013010900,"East Orange, NJ",0.5012
34013022700,"South Broad Street, Newark, NJ",0.5003
34017019000,"Hoboken, NJ",0.4999
34013003500,"West Side, Newark, NJ",0.4985
34013023000,"West Side, Newark, NJ",0.4984
36085007500,"Richmond County, NY",0.4964
34013009000,"Seventh Avenue, Newark, NJ",0.4963
36085012500,"Richmond County, NY",0.4961
36005022401,"Bronx County, NY",0.4947
34017006700,"Bergen/Lafayette, Jersey City, NJ",0.4941
36047037500,"Kings County, NY",0.4932
34039031300,"Elizabeth, NJ",0.493
34017003100,"Bergen/Lafayette, Jersey City, NJ",0.493
36005005002,"Bronx County, NY",0.4922
34017005200,"Greenville, Jersey City, NJ",0.4914
34013006700,"South Broad Street, Newark, NJ",0.4914
34013001500,"Fairmount, Newark, NJ",0.4904
34017007000,"Downtown Jersey City, Jersey City, NJ",0.4901
34031182800,"Paterson, NJ",0.4896
34023004800,"Perth Amboy, NJ",0.4891
34013000900,"Lower Roseville, Newark, NJ",0.489
36047043300,"Kings County, NY",0.4877
36005040100,"Bronx County, NY",0.4872
36081040700,"Queens County, NY",0.4858
34023003800,"Carteret, NJ",0.4846
36005042901,"Bronx County, NY",0.4842
34017006300,"Greenville, Jersey City, NJ",0.4827
36005038302,"Bronx County, NY",0.4822
34013001700,"Fairmount, Newark, NJ",0.4818
36005036502,"Bronx County, NY",0.4811
36047115200,"Kings County, NY",0.4811
34039030500,"Elizabeth, NJ",0.4809
34013018400,"City of Orange, NJ",0.4807
36061009700,"Midtown, New York, NY",0.4802
34013002800,"West Side, Newark, NJ",0.4802
36047119200,"Kings County, NY",0.4777
34023001413,"Edison, NJ",0.4772
36047025500,"Kings County, NY",0.4771
36047114201,"Kings County, NY",0.4771
36005042902,"Bronx County, NY",0.477
36005036000,"Bronx County, NY",0.4769
36005041100,"Bronx County, NY",0.4758
34017002700,"West Side, Jersey City, NJ",0.4744
36061018600,"Harlem, New York, NY",0.474
36047091200,"Kings County, NY",0.4738
34039035400,"Linden, NJ",0.4736
34031175402,"Passaic, NJ",0.4731
34013023100,"West Side, Newark, NJ",0.473
