"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p25"
34013003900,"Springfield/Belmont, Newark, NJ",0.6282
34013001600,"Fairmount, Newark, NJ",0.5781
34013004300,"Upper Clinton Hill, Newark, NJ",0.5711
34013004200,"Upper Clinton Hill, Newark, NJ",0.5686
34013001400,"Fairmount, Newark, NJ",0.5579
34013004400,"Weequahic, Newark, NJ",0.5515
34013001800,"Fairmount, Newark, NJ",0.5494
34013002600,"West Side, Newark, NJ",0.5464
34013004500,"Weequahic, Newark, NJ",0.5327
34013010900,"East Orange, NJ",0.5283
34013022800,"Springfield/Belmont, Newark, NJ",0.5261
34013003700,"West Side, Newark, NJ",0.5244
34013023000,"West Side, Newark, NJ",0.5231
34013006200,"Springfield/Belmont, Newark, NJ",0.5225
36047003300,"Kings County, NY",0.5214
34013023100,"West Side, Newark, NJ",0.5173
36061020600,"East Harlem, New York, NY",0.5129
34013023200,"South Broad Street, Newark, NJ",0.5076
34013004900,"Weequahic, Newark, NJ",0.5067
34013008200,"University Heights, Newark, NJ",0.5005
36005016500,"Bronx County, NY",0.4981
34013006600,"Springfield/Belmont, Newark, NJ",0.4944
34013022700,"South Broad Street, Newark, NJ",0.4933
34013001300,"Fairmount, Newark, NJ",0.492
34013001900,"Lower Vailsburg, Newark, NJ",0.4902
34013003500,"West Side, Newark, NJ",0.4881
34013002800,"West Side, Newark, NJ",0.4825
36047037500,"Kings County, NY",0.4809
34017006800,"Bergen/Lafayette, Jersey City, NJ",0.4807
36005002300,"Bronx County, NY",0.4785
34013002400,"Lower Vailsburg, Newark, NJ",0.4774
34013001700,"Fairmount, Newark, NJ",0.4753
34017005300,"Bergen/Lafayette, Jersey City, NJ",0.4739
34017006700,"Bergen/Lafayette, Jersey City, NJ",0.4699
34013001500,"Fairmount, Newark, NJ",0.4698
34013005400,"Upper Clinton Hill, Newark, NJ",0.4683
36047038700,"Kings County, NY",0.4676
36047036300,"Kings County, NY",0.4673
36081097203,"Queens County, NY",0.467
36005023702,"Bronx County, NY",0.4669
34013006700,"South Broad Street, Newark, NJ",0.4666
34013010100,"East Orange, NJ",0.466
36047037300,"Kings County, NY",0.4651
34039039000,"Plainfield, NJ",0.463
34013018400,"City of Orange, NJ",0.4628
34013013100,"Irvington, NJ",0.4616
36005014500,"Bronx County, NY",0.4612
34013006800,"Ironbound District, Newark, NJ",0.4607
34013001100,"University Heights, Newark, NJ",0.4606
36005015500,"Bronx County, NY",0.4603
36005014702,"Bronx County, NY",0.4575
34013009200,"Mount Pleasant/Lower Broadway, Newark, NJ",0.4544
36005007300,"Bronx County, NY",0.4539
36047005900,"Kings County, NY",0.4534
36005015300,"Bronx County, NY",0.4529
36061025900,"Harlem, New York, NY",0.4525
36047115600,"Kings County, NY",0.4513
36061022800,"Harlem, New York, NY",0.4512
36047048900,"Kings County, NY",0.4507
34013005100,"Weequahic, Newark, NJ",0.4503
34013009600,"North Broadway, Newark, NJ",0.4503
34013008100,"Central Business District, Newark, NJ",0.449
34013003800,"West Side, Newark, NJ",0.449
36047090800,"Kings County, NY",0.4476
34013000900,"Lower Roseville, Newark, NJ",0.4463
36005002701,"Bronx County, NY",0.4461
34013005000,"South Broad Street, Newark, NJ",0.446
36047036100,"Kings County, NY",0.4446
34039030200,"Elizabeth, NJ",0.4442
34013001000,"University Heights, Newark, NJ",0.4434
34017004400,"Bergen/Lafayette, Jersey City, NJ",0.4422
34013004802,"Dayton/Weequahic Park, Newark, NJ",0.4401
36047121400,"Kings County, NY",0.439
