"tract","Name","Teenage_Birth_Rate_women_only_rW_gF_p25"
34017002200,"Historic Downtown, Jersey City, NJ",0.613
36005034800,"Bronx County, NY",0.5414
36047000700,"Kings County, NY",0.4651
36081112300,"Queens County, NY",0.4589
36005023000,"Bronx County, NY",0.4327
34017002700,"West Side, Jersey City, NJ",0.4308
34039030701,"Elizabeth, NJ",0.4291
36047051500,"Kings County, NY",0.4266
36081008300,"Queens County, NY",0.4083
36085001800,"Richmond County, NY",0.3993
34017017200,"Union City, NJ",0.3815
34013015700,"Bloomfield, NJ",0.3779
34017032400,"West New York, NJ",0.3778
36005007200,"Bronx County, NY",0.3705
36047007600,"Kings County, NY",0.3679
34023005000,"Perth Amboy, NJ",0.3585
36059404901,"Elmont, NY",0.3554
34013007502,"North Ironbound, Newark, NJ",0.3536
36085003900,"Richmond County, NY",0.3528
34017006100,"Greenville, Jersey City, NJ",0.3516
36005036000,"Bronx County, NY",0.3496
34017001300,"The Heights, Jersey City, NJ",0.3428
34039039100,"Plainfield, NJ",0.3427
36061013000,"Lenox Hill, New York, NY",0.3407
36005021001,"Bronx County, NY",0.3353
36061030300,"Inwood, New York, NY",0.3293
36061008300,"Midtown, New York, NY",0.3184
36047005602,"Kings County, NY",0.3155
34039031802,"Elizabeth, NJ",0.3126
36081026100,"Queens County, NY",0.3058
36059414400,"Freeport, NY",0.3055
34039035900,"Rahway, NJ",0.3039
34013012300,"Irvington, NJ",0.3019
34017014200,"North Bergen, NJ",0.2968
34013007800,"Ironbound District, Newark, NJ",0.286
36081002400,"Queens County, NY",0.2835
36047102400,"Kings County, NY",0.2834
34017017800,"Union City, NJ",0.283
36061005501,"Lower Manhattan, New York, NY",0.2803
36047009600,"Kings County, NY",0.2797
34031175500,"Passaic, NJ",0.2776
34039030802,"Elizabeth, NJ",0.2774
36047022600,"Kings County, NY",0.2737
36061017100,"Upper West Side, New York, NY",0.2727
36047013900,"Kings County, NY",0.2707
34023004600,"Perth Amboy, NJ",0.2707
36085032300,"Richmond County, NY",0.2702
34017011400,"Constable Hook, Bayonne, NJ",0.2671
36061003700,"Lower Manhattan, New York, NY",0.2651
34017000500,"The Heights, Jersey City, NJ",0.264
34017017100,"Union City, NJ",0.2637
36047009800,"Kings County, NY",0.2593
36047013200,"Kings County, NY",0.2584
